,Selfies
4408,C C N Branch1 Ring1 C C C =N C =C Branch1 Ring2 S Ring1 Branch1 C =C Branch1 C O C =C Branch1 C O C Branch1 C C =C C =Branch1 =Branch1 =C Ring1 Branch2 Ring1 =C C =Branch1 C =O C Branch1 C C Branch2 Branch1 =Branch2 O C =C C Branch1 Ring1 O C C Branch1 C C C Branch1 #Branch1 O C Branch1 C C =O C Branch1 C C C Branch1 C O C Branch1 C C C Branch1 C O C Branch1 C C C =C C =C Branch1 C C C =Branch1 C =O N Ring2 Ring2 =C O Ring2 Ring2 #Branch1
4610,N #C C =Branch1 =N =C C =C C =C Branch1 C O C =C Ring1 #Branch1 C Branch1 Ring1 C #N =C C =C C =C Branch1 C O C =C Ring1 #Branch1
5318,C S =Branch1 C =O =Branch1 C =O N C =C C =C Branch1 =Branch1 N+1 =Branch1 C =O O-1 C =C Ring1 =Branch2 O C =C C =C C =C Ring1 =Branch1
6884,C C =Branch1 C =O N C =C C =C Branch1 S O C =Branch1 C =O C@H1 C C C =Branch1 C =O N Ring1 =Branch1 C =C Ring1 #C
3099,C C O C =Branch1 C =O O C Branch1 Branch2 C =Branch1 C =O O C Cl C C C@H1 C@@H1 C C C =C C =Branch1 C =O C =C C Ring1 #Branch1 Branch1 C C C@H1 Ring1 N C Branch1 C O C C Ring1 P Ring2 Ring1 =Branch2 C
2678,C =C C C@H1 /C =C Branch1 C \C C C@H1 Branch1 C C C C@H1 Branch1 Ring1 O C C@@H1 O C Branch1 C O Branch2 Branch1 N C =Branch1 C =O C =Branch1 C =O N C C C C C@H1 Ring1 =Branch1 C =Branch1 C =O O C@H1 Branch2 Ring1 Branch1 /C Branch1 C C =C /C@H1 C C C@H1 Branch1 C O C@@H1 Branch1 Ring1 O C C Ring1 =Branch2 C@@H1 Branch1 C C C@@H1 Branch1 C O C C Ring2 Ring2 #C =O C@@H1 Branch1 C C C C@@H1 Ring2 Ring2 =Branch2 O C
5747,C C O C =C C =C Branch2 Ring1 #Branch2 C C =N C C C =C C Branch1 Ring2 O C C =C Branch1 Ring2 O C C C =C Ring1 N Ring1 S C =C Ring2 Ring1 #Branch1 O C C
6681,C N C =Branch1 C =O C =C Branch2 Ring1 N N =C N Ring1 Branch1 C C N C C@H1 Branch1 C O C =C C =C Branch1 C O C Branch1 C O =C Ring1 Branch2 N Branch1 C C C Ring2 Ring1 =Branch2 =O
1633,C C O C =Branch1 C =O C N =C Branch1 #Branch2 C =C C =C C =C Ring1 =Branch1 F C =C C Branch1 C Cl =C C =C Ring1 #Branch1 N C Ring2 Ring1 Ring1 =O
2022,C O C =C C Branch1 #C C =Branch1 C =O N C C C C C C C Ring1 Branch2 =C C Branch1 Ring1 O C =C Ring2 Ring1 C O C
2415,O =C Branch1 C O P =Branch1 C =O Branch1 C O O
179,C C N =C N Branch2 Ring2 Ring2 C =Branch1 C =O C =Ring1 #Branch1 C C N C C C Branch1 P C =C O C =C C Branch1 C F =C C =C Ring1 #Branch2 Ring1 #Branch1 C C Ring1 S C C C C Ring2 Ring1 O O
4048,C C =C C =C Branch2 Ring2 C S C@@H1 Branch1 C C C =Branch1 C =O N C@@H1 C C Branch1 C C Branch1 C C O C =C C =C Branch1 C C C =C Ring1 #Branch1 Ring1 =N C =C Ring2 Ring1 =Branch2
1459,C C C Branch1 Ring1 C C Branch1 O C N C =Branch1 C =O C C C O C =C C =C C Branch1 Ring1 O C =C Ring1 Branch2
4057,C C =C C =C C =Branch1 Ring2 =C Ring1 =Branch1 O C Branch1 C C Branch1 C C C C@@H1 Ring1 =Branch2 N C =Branch1 C =O C S C C =C C =C Branch1 =Branch1 N+1 =Branch1 C =O O-1 C =C Ring1 =Branch2
5602,C C #C C N C Branch1 N N C C C C Branch1 C N C Ring1 #Branch1 =N C =C Ring1 N C =Branch1 C =O N Branch2 Ring1 Ring1 C C =N C Branch1 C C =C C =C C =C C Ring1 =Branch1 =N Ring1 O C =Branch1 C =O N Ring2 Ring1 Ring2 C
7430,C O C =C C =C C =C Ring1 =Branch1 O C@@H1 C C@@H1 Branch1 C O C =C C@ Ring1 #Branch2 Ring1 #Branch1 C C N Branch1 C C C Ring1 S
5618,C C =Branch1 C =O O C C C C C C C Branch2 Ring2 C C C C Branch1 C C C Ring1 #Branch1 C C Branch1 N N+1 Branch1 C C C C C C C Ring1 #Branch1 C Ring1 =N O C Branch1 C C =O C Ring2 Ring1 =Branch2 Branch1 C C C C Ring2 Ring1 =C N+1 Branch1 C C C C C C C Ring1 #Branch1
4631,O =C Branch2 Ring1 Ring2 C C =C C =C Branch1 =Branch2 C Branch1 C F Branch1 C F F C =C Ring1 #Branch2 N C C C C C Ring1 =Branch1 C N C C C C Ring1 Branch1
4465,C N C C C C =C C =C C Branch1 C O =C Ring1 #Branch1 O C Ring1 #Branch2 Branch1 C C C =Branch1 C =O C C C Ring1 S C Ring2 Ring1 Ring2 C Ring1 S
4015,C S =Branch1 C =O =Branch1 C =O C@H1 C@@H1 Branch1 Ring1 C #N C@@H1 Ring1 Branch1 C =C C =C C =C Ring1 =Branch1
399,O C C Branch1 C O C O
6710,N C C@H1 C C C@@H1 Branch1 C N C@H1 Branch2 Ring2 =Branch2 O C@H1 C@@H1 Branch1 C N C C@H1 Branch1 C N C@@H1 Branch2 Ring1 Branch1 O C@H1 O C@H1 Branch1 Ring1 C O C@@H1 Branch1 C O C@H1 Branch1 C N C@@H1 Ring1 #Branch2 O C@@H1 Ring2 Ring1 Ring2 O O Ring2 Ring1 =N
2396,O =C Branch1 =Branch2 C C =C C =C S Ring1 Branch1 N C@@H1 C =Branch1 C =O N C Branch1 =Branch1 C =Branch1 C =O O =C Branch1 #Branch2 C S C =N C =N NH1 Ring1 Branch1 C S C@H1 Ring2 Ring1 Ring1 Ring1 S
1007,C N Branch1 C C C C C N C =C C =C C =C Ring1 =Branch1 S C =C C =C Branch1 C Cl C =C Ring1 #Branch1 Ring1 #C
5435,O C C N C C Branch1 C O C Branch1 C O C Branch1 C O C Ring1 =Branch2 C O
6974,C C Branch1 C C C =Branch1 C =O O C C =C C =C C Branch2 Ring2 =Branch2 O C =Branch1 C =O C@H1 N C =Branch1 C =O C@@H1 Branch1 #C N C =Branch1 C =O C C =C C =C C =C Ring1 =Branch1 C@H1 Ring1 #C S C Ring2 Ring1 C Branch1 C C C =C Ring2 Ring1 =N
6099,C C Branch1 C C C C@H1 Branch2 =N #Branch2 N C =Branch1 C =O C@@H1 Branch1 #C C C =C NH1 C =C C =C C =C Ring1 =Branch2 Ring1 =Branch1 N C =Branch1 C =O C@@H1 Branch1 #Branch1 C C Branch1 C C C N C =Branch1 C =O C@H1 Branch1 #Branch2 C C =C C =C C =C Ring1 =Branch1 N C =Branch1 C =O C@@H1 Branch1 #Branch1 C C Branch1 C C C N C =Branch1 C =O C@H1 Branch1 #C C C =C NH1 C =C C =C C =C Ring1 =Branch2 Ring1 =Branch1 N C =Branch1 C =O C@H1 Branch2 #Branch1 Ring1 N C =Branch1 C =O C@H1 Branch2 =Branch1 Branch1 N C =Branch1 C =O C@H1 Branch2 Branch1 #Branch1 N C =Branch1 C =O C@@H1 Branch1 C C N C =Branch1 C =O C@@H1 Branch1 #Branch1 C C Branch1 C C C N C =Branch1 C =O C@H1 Branch1 C C N C =Branch1 C =O C N C =Branch1 C =O C@H1 Branch1 Ring2 N C =O C Branch1 C C C C Branch1 C C C C Branch1 C C C C Branch1 C C C C =Branch1 C =O N C@@H1 Branch1 #C C C =C NH1 C =C C =C C =C Ring1 =Branch2 Ring1 =Branch1 C =Branch1 C =O N C C O
5499,C N Branch1 Ring2 C C Cl C C Cl
3106,C C O C Branch1 Ring2 O C C C =Branch1 C =O O C C =Branch1 C =O C Branch1 C O C C =C Branch1 C O C =C Branch2 Ring2 C C Branch1 C O =C Ring1 Branch2 C@@H1 Branch2 Ring1 Ring1 O C@@H1 C C@H1 Branch1 C N C@H1 Branch1 C O C@H1 Branch1 C C O Ring1 =Branch2 C Ring2 Ring1 #Branch1 C =Branch1 C =O C =C Branch1 Ring1 O C C =C C =C Ring1 Branch2 C Ring2 Ring1 N =O
7639,N N C =Branch1 C =O N N N C =Branch1 C =O C =C C Branch1 =Branch2 S =Branch1 C =O =Branch1 C =O O =C C =C Branch1 C N C Branch1 =Branch2 S =Branch1 C =O =Branch1 C =O O =C C =Branch1 #Branch1 =C Ring2 Ring1 Ring1 Ring1 O C Ring2 Ring1 #Branch1 =O
6679,Cl C =C C =C Branch2 Ring1 =C C@H1 C@H1 C C C@H1 Branch1 Ring2 C Ring1 Branch1 C@ Ring1 #Branch1 C C C Branch1 =Branch2 N C C O C C Ring1 =Branch1 =N Ring1 O C =C Ring2 Ring1 #Branch1
2989,C C C C C =Branch1 C =O C O C =C Branch1 Ring1 O C C =C C =C Ring1 Branch2 C Ring1 O C C N Branch1 #Branch1 C C C C Ring1 Ring1 C Branch1 Ring2 C Ring1 N C@@H1 Ring2 Ring1 =Branch2 Ring1 O
895,C C =N N =C N Ring1 Branch1 C =C C =C Branch1 C Cl C =C Ring1 #Branch1 C Branch1 #Branch2 C =C C =C C =C Ring1 =Branch1 Cl =N C Ring2 Ring1 Ring1
3272,C N C =C N Branch1 C O C Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 =C C =C Branch1 C Cl C =C C Ring1 #Branch1 =N Ring2 Ring1 Ring1
6470,C O C =Branch1 C =O C@H1 C@H1 Branch1 Ring1 O C C@@H1 Branch2 Ring1 #Branch2 O C =Branch1 C =O C =C C Branch1 Ring1 O C =C Branch1 Ring1 O C C Branch1 Ring1 O C =C Ring1 N C C@H1 C N C C C =C Branch1 N NH1 C =C C =C C =C Ring1 =Branch2 Ring1 =Branch1 C@H1 Ring1 =N C C@@H1 Ring1 P Ring2 Ring2 =Branch1
496,C O C =C C =C Branch1 #Branch1 C =C Ring1 =Branch1 O C C@H1 C C =C C =C Branch1 Ring1 O C C Branch1 Ring1 O C =C Ring1 #Branch2 C N Ring1 =C C C Ring2 Ring1 =Branch1
2906,C C C C =Branch1 C =O C@H1 C@@H1 Branch1 P C C C@H1 C C@@H1 Branch1 C O C C C Ring1 #Branch1 Ring1 O C C@@H1 Ring1 P C C C@@H1 Ring2 Ring1 Ring2 C =Branch1 C =O C O
3848,C C O C =Branch1 C =O C@ Branch1 C N C@@H1 Branch2 Ring1 Ring1 S =Branch1 C =O =Branch1 C =O C =C C =C Branch1 C C C =C Ring1 #Branch1 C@@H1 Ring1 =C C =C C =C C =C Ring1 =Branch1
1795,C N Branch1 Ring1 N =O C =Branch1 C =O N C@H1 C@@H1 Branch1 C O O C@H1 Branch1 Ring1 C O C@@H1 Branch1 C O C@@H1 Ring1 #Branch2 O
5431,O C C Branch1 Ring1 C O N C C C Branch1 C O Branch1 Ring1 C O C Branch1 C O C Branch1 C O C Ring1 O O
3493,C C@@H1 Branch1 #Branch1 C N Branch1 C C C C N C =C C =C C =C Ring1 =Branch1 C C C =C C =C C =C Ring1 =Branch1 Ring1 #C
6142,C C Branch1 C C S C@@H1 C@H1 Branch2 Ring1 =Branch2 N C =Branch1 C =O C =N C =C C =C C =C Ring1 =Branch1 N =C Ring1 #Branch2 C =Branch1 C =O O C =Branch1 C =O N Ring2 Ring1 Branch1 C@@H1 Ring2 Ring1 =Branch2 C =Branch1 C =O O
5438,O C =C Branch1 C I C =C Branch1 C I C =C C =C N =C Ring1 N Ring1 =Branch1
3834,C C Branch1 C C C =N N =C Branch2 Ring1 N N C C N N =C Branch1 =N C@@H1 Branch1 C O C =N C =C N Ring1 Branch1 C C =C Ring1 =N C Ring1 P S Ring2 Ring1 =Branch1
4821,C C O C Branch1 Ring2 O C C C =Branch1 C =O O C C =Branch1 C =O C@ Branch1 C O C C =C Branch1 C O C =C Branch2 Ring2 C C Branch1 C O =C Ring1 Branch2 C@@H1 Branch2 Ring1 Ring1 O C@H1 C C@H1 Branch1 C N C@H1 Branch1 C O C@H1 Branch1 C C O Ring1 =Branch2 C Ring2 Ring1 #Branch1 C =Branch1 C =O C =C Branch1 Ring1 O C C =C C =C Ring1 Branch2 C Ring2 Ring1 N =O
1389,C C =N N Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C =Branch1 C =O C Ring1 N
1641,C C O C =Branch1 C =O N C =C C =C Branch1 =C N C C =C C =C Branch1 C F C =C Ring1 #Branch1 C =C Ring1 #C N
4746,C C Branch1 C C N C@@H1 C C C C Branch1 Branch1 C C Ring1 =Branch1 C@@ Ring1 Branch2 Branch1 C O C =C C =C Branch1 C Cl C Branch1 C Cl =C Ring1 Branch2
1769,C N Branch1 C C C C O C =C C =C C =C C =C Ring1 =Branch1 S C =C C =C Branch1 C Cl C =C Ring1 #Branch1 Ring1 S
7578,C C =C C N =C C =Branch1 C =O NH1 C =Branch1 C =O N =C Ring1 Branch2 N Branch1 S C C@@H1 Branch1 C O C@H1 Branch1 C O C@H1 Branch1 C O C O C =Ring2 Ring1 Branch1 C =C Ring2 Ring1 =Branch2 C
4312,C C C C C C C C =C C =Branch1 C =O C =C C Ring1 #Branch1 Branch1 C C C Ring1 N Branch1 C F C Branch1 C O C C Ring2 Ring1 C Branch1 C C C Ring2 Ring1 =Branch1 Branch1 =C O C =Branch1 C =O C =C C =C C =C Ring1 =Branch1 C =Branch1 C =O C O
6897,C C =Branch1 C =O O C C =Branch1 C =O C@@ Branch1 C O C@@H1 Branch1 C C C C@H1 C@H1 C C@H1 Branch1 C F C =C C =Branch1 C =O C =C C@@ Ring1 #Branch1 Branch1 C C C@H1 Ring1 =N C@H1 Branch1 C O C C@ Ring2 Ring1 C Ring2 Ring1 #Branch1 C
4462,C N C C Branch1 =C N S =Branch1 C =O =Branch1 C =O N Branch1 C C C C C C =C C =C C =C Ring1 =Branch1 C =Branch1 =Branch1 =C N Ring1 Branch1 C C C Ring1 =N Ring2 Ring1 Branch2
2145,C C@ C C@H1 Branch1 C O C@H1 C@@H1 Branch1 P C C C =C C =Branch1 C =O C =C C@@ Ring1 #Branch1 Ring1 O C C@@H1 Ring1 P C C C@ Ring2 Ring1 Ring2 Branch1 C O C =Branch1 C =O C O C =Branch1 C =O C C C =Branch1 C =O O
7736,C O C =C C =C C Branch2 Ring1 S C C =Branch1 C =O N C C N Branch1 =Branch1 C Branch1 C C =O C C Ring1 =Branch2 C N C C C Branch1 C O C Ring1 =Branch1 =C Ring2 Ring1 =Branch2
2256,F C Branch1 C F Branch1 C Cl C Branch1 C F Branch1 C F Cl
3358,C O C Branch1 =C N C =Branch1 C =O C C =C C =C S Ring1 Branch1 C =Branch1 C =O N C Branch1 =Branch1 C =Branch1 C =O O =C Branch1 Branch2 C O C Branch1 C N =O C S C@H1 Ring1 =C Ring2 Ring1 #Branch2
5867,C C =N C =C N Ring1 Branch1 C C C Branch1 =Branch1 C Branch1 C N =O Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C =C C =C C =C Ring1 =Branch1
1807,C N C =Branch1 C =O C N C C C =C C =C C =C Ring1 =Branch1 C Ring1 #Branch2 C =C C Branch1 C Cl =C C =C Ring1 #Branch1 Ring2 Ring1 Branch1
836,C C =Branch1 C =O O C C C Branch1 C C C
2150,C C@ C C C =N NH1 C =Ring1 Branch1 C C@@H1 Ring1 =Branch2 C C C@@H1 C@@H1 Ring1 =N C C C@@ Branch1 C C C@H1 Ring1 #Branch1 C C C@ Ring1 =Branch1 Branch1 C C O
2969,C C C =Branch1 C =O O C@H1 C C =Branch1 C =O O C@@H1 Branch1 C C C /C =C /C =C /C@@H1 Branch1 C O C@@H1 Branch1 C C C C@@H1 Branch1 Ring2 C C =O C@H1 Branch2 Branch1 Ring2 O C@@H1 O C Branch1 C C C@@H1 Branch2 Ring1 N O C@H1 C C Branch1 C C Branch1 C O C@@H1 Branch1 Branch2 O C =Branch1 C =O C C C@H1 Branch1 C C O Ring1 =C C@@H1 Branch1 =Branch1 N Branch1 C C C C@@H1 Ring2 Ring1 =Branch2 O C@H1 Ring2 Branch1 C O C
6934,C C =Branch1 C =O C@@ Branch1 C O C@@H1 Branch1 C C C C@H1 C@H1 C C C =C C =Branch1 C =O C =C C@@ Ring1 #Branch1 Branch1 C C C@@ Ring1 N Branch1 C F C@H1 Branch1 C O C C@ Ring2 Ring1 C Ring2 Ring1 #Branch1 C
7113,C C C N C Branch2 Ring1 C C C =C C =C C =C Ring1 =Branch1 C C =Branch1 C =O N Ring1 =Branch1 N C C C
3294,C N C@H1 C C C@@H1 Branch1 =Branch2 C =C C =C C =C Ring1 =Branch1 C =C C =C C =C Ring1 =Branch1 Ring1 S
7032,C C Branch1 C C S C@@H1 C@H1 Branch2 Ring1 C N C =Branch1 C =O C@H1 Branch1 C N C =C C =C C =C Ring1 =Branch1 C =Branch1 C =O N Ring1 S C@H1 Ring2 Ring1 Ring2 C =Branch1 C =O O C O C =Branch1 C =O C@H1 N C =Branch1 C =O C C@H1 Ring1 Branch1 S =Branch1 C =O =Branch1 C =O C Ring1 #Branch2 Branch1 C C C
5628,C C Branch1 C C C N Branch2 Ring2 Ring2 C C Branch1 C O C Branch1 #Branch2 C C =C C =C C =C Ring1 =Branch1 N C =Branch1 C =O O C C O C O C C C Ring1 Branch2 Ring1 Branch1 S =Branch1 C =O =Branch1 C =O C =C C =C Branch1 C N C =C Ring1 #Branch1
3627,C C =N N =C Branch2 Ring2 P S C C =C Branch1 =Branch1 C =Branch1 C =O O N C =Branch1 C =O C Branch2 Ring1 Branch1 N C =Branch1 C =O C@@H1 Branch1 C N C =C C =C Branch1 C O C =C Ring1 #Branch1 C@@H1 Ring1 P S C Ring2 Ring1 Branch2 S Ring2 Ring1 #C
6956,C C Branch1 C C Branch1 C C N C =Branch1 C =O C@H1 C N Branch1 #Branch2 C C =C C =C N =C Ring1 =Branch1 C C N Ring1 =N C C@H1 Branch1 C O C C@@H1 Branch1 #Branch2 C C =C C =C C =C Ring1 =Branch1 C =Branch1 C =O N C@H1 C =C C =C C =C Ring1 =Branch1 C C@@H1 Ring1 =Branch2 O
